#
#--------------------------------------------------------------------------------
#
#D I S P L A C E M E N T S
#ASTER 11.04.00 CONCEPT DETB1 CALCULE LE 14/01/2015 A 11:22:12 DE TYPE           
#TABLE_SDASTER                                                                   
 ,RESULTAT ,NOM_CHAM         ,INST         ,NUME_ORDRE   ,NOEUD    ,COOR_X       ,COOR_Y       ,DX           ,DY           ,DZ           ,DRX          ,DRY          ,DRZ         
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N1       , 1.00000E+01 , 0.00000E+00 , 0.00000E+00 , 5.58644E-29 ,-5.15143E-14 , 0.00000E+00 , 3.74776E-11 ,-5.84309E-27
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N2       , 6.00000E+01 , 0.00000E+00 , 0.00000E+00 , 4.66981E-09 ,-1.29217E+07 , 0.00000E+00 , 5.08184E+05 , 1.83654E-10
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N3       , 1.10000E+02 , 0.00000E+00 , 0.00000E+00 , 1.80595E-08 ,-4.99722E+07 , 0.00000E+00 , 9.65595E+05 , 3.48958E-10
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N4       , 1.60000E+02 , 0.00000E+00 , 0.00000E+00 , 3.92759E-08 ,-1.08680E+08 , 0.00000E+00 , 1.37490E+06 , 4.96879E-10
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N5       , 2.10000E+02 , 0.00000E+00 , 0.00000E+00 , 6.74738E-08 ,-1.86705E+08 , 0.00000E+00 , 1.73878E+06 , 6.28382E-10
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N6       , 2.60000E+02 , 0.00000E+00 , 0.00000E+00 , 1.01857E-07 ,-2.81845E+08 , 0.00000E+00 , 2.05991E+06 , 7.44433E-10
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N7       , 3.10000E+02 , 0.00000E+00 , 0.00000E+00 , 1.41676E-07 ,-3.92028E+08 , 0.00000E+00 , 2.34094E+06 , 8.45998E-10
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N8       , 3.60000E+02 , 0.00000E+00 , 0.00000E+00 , 1.86231E-07 ,-5.15316E+08 , 0.00000E+00 , 2.58457E+06 , 9.34042E-10
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N9       , 4.10000E+02 , 0.00000E+00 , 0.00000E+00 , 2.34871E-07 ,-6.49906E+08 , 0.00000E+00 , 2.79346E+06 , 1.00953E-09
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N10      , 4.60000E+02 , 0.00000E+00 , 0.00000E+00 , 2.86991E-07 ,-7.94127E+08 , 0.00000E+00 , 2.97027E+06 , 1.07343E-09
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N11      , 5.10000E+02 , 0.00000E+00 , 0.00000E+00 , 3.42037E-07 ,-9.46443E+08 , 0.00000E+00 , 3.11770E+06 , 1.12671E-09
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N12      , 5.60000E+02 , 0.00000E+00 , 0.00000E+00 , 3.99501E-07 ,-1.10545E+09 , 0.00000E+00 , 3.23840E+06 , 1.17033E-09
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N13      , 6.10000E+02 , 0.00000E+00 , 0.00000E+00 , 4.58925E-07 ,-1.26988E+09 , 0.00000E+00 , 3.33504E+06 , 1.20526E-09
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N14      , 6.60000E+02 , 0.00000E+00 , 0.00000E+00 , 5.19898E-07 ,-1.43860E+09 , 0.00000E+00 , 3.41031E+06 , 1.23246E-09
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N15      , 7.10000E+02 , 0.00000E+00 , 0.00000E+00 , 5.82058E-07 ,-1.61060E+09 , 0.00000E+00 , 3.46688E+06 , 1.25290E-09
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N16      , 7.60000E+02 , 0.00000E+00 , 0.00000E+00 , 6.45091E-07 ,-1.78502E+09 , 0.00000E+00 , 3.50741E+06 , 1.26755E-09
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N17      , 8.10000E+02 , 0.00000E+00 , 0.00000E+00 , 7.08732E-07 ,-1.96112E+09 , 0.00000E+00 , 3.53458E+06 , 1.27737E-09
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N18      , 8.60000E+02 , 0.00000E+00 , 0.00000E+00 , 7.72764E-07 ,-2.13830E+09 , 0.00000E+00 , 3.55106E+06 , 1.28332E-09
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N19      , 9.10000E+02 , 0.00000E+00 , 0.00000E+00 , 8.37016E-07 ,-2.31609E+09 , 0.00000E+00 , 3.55952E+06 , 1.28638E-09
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N20      , 9.60000E+02 , 0.00000E+00 , 0.00000E+00 , 9.01369E-07 ,-2.49416E+09 , 0.00000E+00 , 3.56264E+06 , 1.28751E-09
 ,RESU1    ,DEPL             , 0.00000E+00 ,           1 ,N21      , 1.01000E+03 , 0.00000E+00 , 0.00000E+00 , 9.65751E-07 ,-2.67231E+09 , 0.00000E+00 , 3.56308E+06 , 1.28767E-09

